iter	Passed	Remaining
0	57	57856
1	58	29027
2	58	19412
3	58	14605
4	58	11721
5	59	9794
6	59	8417
7	59	7384
8	59	6584
9	60	5942
10	60	5417
11	60	4979
12	60	4608
13	60	4291
14	61	4015
15	61	3773
16	61	3559
17	61	3371
18	62	3201
19	62	3048
20	62	2911
21	62	2785
22	62	2672
23	63	2568
24	63	2472
25	63	2383
26	63	2300
27	64	2224
28	64	2152
29	64	2085
30	64	2022
31	64	1964
32	65	1908
33	65	1859
34	65	1810
35	65	1763
36	66	1720
37	66	1679
38	66	1641
39	66	1604
40	67	1570
41	67	1535
42	67	1502
43	67	1471
44	67	1441
45	68	1413
46	68	1386
47	68	1360
48	68	1336
49	69	1312
50	69	1289
51	69	1266
52	69	1245
53	69	1225
54	70	1205
55	70	1186
56	70	1167
57	70	1149
58	70	1132
59	71	1115
60	71	1099
61	71	1084
62	71	1070
63	72	1056
64	72	1042
65	72	1028
66	72	1014
67	72	999
68	73	987
69	73	974
70	73	962
71	73	951
72	73	939
73	74	928
74	74	917
75	74	907
76	74	897
77	75	887
78	75	877
79	75	867
80	75	858
81	75	848
82	76	839
83	76	831
84	76	821
85	76	813
86	76	803
87	76	796
88	77	788
89	77	780
90	77	773
91	77	765
92	77	758
93	77	751
94	78	744
95	78	738
96	78	731
97	78	724
98	78	718
99	79	711
100	79	705
101	79	698
102	79	692
103	79	686
104	79	681
105	80	675
106	80	670
107	80	664
108	80	659
109	80	654
110	81	649
111	81	644
112	81	639
113	81	634
114	81	629
115	81	624
116	82	619
117	82	615
118	82	610
119	82	606
120	82	601
121	82	597
122	83	592
123	83	587
124	83	583
125	83	579
126	83	575
127	83	571
128	84	567
129	84	563
130	84	560
131	84	556
132	84	552
133	85	549
134	85	545
135	85	542
136	85	538
137	85	535
138	85	531
139	86	528
140	86	525
141	86	522
142	86	518
143	86	515
144	86	512
145	87	509
146	87	506
147	87	503
148	87	500
149	87	497
150	88	495
151	88	492
152	88	489
153	88	486
154	88	484
155	88	481
156	89	478
157	89	476
158	89	473
159	89	471
160	89	468
161	90	466
162	90	463
163	90	461
164	90	458
165	90	456
166	91	453
167	91	451
168	91	449
169	91	446
170	91	444
171	91	442
172	92	440
173	92	438
174	92	435
175	92	433
176	92	431
177	93	429
178	93	427
179	93	425
180	93	423
181	93	421
182	93	419
183	94	417
184	94	415
185	94	413
186	94	411
187	94	409
188	95	407
189	95	405
190	95	404
191	95	402
192	95	400
193	95	398
194	96	396
195	96	395
196	96	393
197	96	391
198	96	390
199	97	388
200	97	386
201	97	385
202	97	383
203	97	381
204	98	380
205	98	378
206	98	376
207	98	375
208	98	373
209	98	372
210	99	370
211	99	369
212	99	367
213	99	366
214	99	364
215	100	363
216	100	361
217	100	360
218	100	358
219	100	357
220	100	355
221	101	354
222	101	353
223	101	351
224	101	350
225	101	349
226	102	347
227	102	346
228	102	345
229	102	343
230	102	342
231	103	341
232	103	340
233	103	338
234	103	337
235	103	336
236	104	335
237	104	334
238	104	332
239	104	331
240	104	330
241	105	329
242	105	327
243	105	326
244	105	325
245	105	324
246	106	323
247	106	322
248	106	320
249	106	319
250	106	318
251	106	317
252	107	316
253	107	315
254	107	314
255	107	312
256	107	311
257	108	310
258	108	309
259	108	308
260	108	307
261	108	306
262	108	305
263	109	304
264	109	303
265	109	302
266	109	301
267	109	300
268	110	299
269	110	298
270	110	296
271	110	295
272	110	294
273	110	293
274	111	292
275	111	291
276	111	290
277	111	289
278	111	289
279	112	288
280	112	287
281	112	286
282	112	285
283	112	284
284	112	283
285	113	282
286	113	281
287	113	280
288	113	279
289	113	278
290	113	277
291	114	276
292	114	275
293	114	275
294	114	274
295	114	273
296	115	272
297	115	271
298	115	270
299	115	269
300	115	268
301	115	268
302	116	267
303	116	266
304	116	265
305	116	264
306	116	263
307	117	263
308	117	262
309	117	261
310	117	260
311	117	259
312	117	258
313	118	258
314	118	257
315	118	256
316	118	255
317	118	254
318	119	254
319	119	253
320	119	252
321	119	251
322	119	250
323	119	250
324	120	249
325	120	248
326	120	247
327	120	247
328	120	246
329	120	245
330	121	244
331	121	244
332	121	243
333	121	242
334	121	241
335	122	241
336	122	240
337	122	239
338	122	239
