iter	Passed	Remaining
0	57	57498
1	57	28911
2	58	19335
3	58	14570
4	58	11727
5	59	9814
6	59	8439
7	59	7404
8	59	6602
9	60	5963
10	60	5434
11	60	5001
12	60	4627
13	61	4306
14	61	4031
15	61	3787
16	61	3572
17	62	3382
18	62	3213
19	62	3059
20	62	2922
21	62	2797
22	63	2685
23	63	2584
24	63	2488
25	64	2401
26	64	2317
27	64	2241
28	64	2168
29	65	2101
30	65	2041
31	65	1983
32	65	1929
33	66	1878
34	66	1828
35	66	1781
36	66	1737
37	67	1696
38	67	1658
39	67	1621
40	67	1586
41	68	1552
42	68	1519
43	68	1488
44	68	1458
45	68	1430
46	69	1403
47	69	1376
48	69	1351
49	69	1327
50	70	1305
51	70	1283
52	70	1263
53	70	1242
54	71	1221
55	71	1201
56	71	1183
57	71	1164
58	71	1146
59	72	1129
60	72	1115
61	72	1099
62	72	1085
63	73	1071
64	73	1057
65	73	1044
66	73	1030
67	74	1018
68	74	1006
69	74	994
70	75	982
71	75	971
72	75	959
73	75	947
74	75	936
75	76	925
76	76	915
77	76	905
78	76	894
79	76	885
80	77	875
81	77	866
82	77	855
83	77	846
84	77	838
85	78	830
86	78	822
87	78	813
88	78	805
89	78	798
90	79	790
91	79	783
92	79	775
93	79	768
94	79	761
95	80	754
96	80	747
97	80	741
98	80	734
99	81	729
100	81	723
101	81	718
102	81	713
103	82	708
104	82	702
105	82	697
106	82	692
107	83	687
108	83	682
109	83	676
110	83	672
111	84	666
112	84	662
113	84	657
114	84	652
115	85	647
116	85	642
117	85	637
118	85	633
119	85	629
120	85	624
121	86	619
122	86	615
123	86	611
124	86	607
125	87	604
126	87	599
127	87	595
128	87	592
129	87	588
130	88	584
131	88	581
132	88	577
133	88	574
134	89	571
135	89	568
136	89	565
137	89	561
138	90	558
139	90	555
140	90	552
141	90	548
142	90	545
143	91	542
144	91	539
145	91	536
146	91	533
147	92	530
148	92	527
149	92	524
150	92	521
151	92	518
152	93	515
153	93	513
154	93	510
155	93	507
156	94	504
157	94	502
158	94	499
159	94	496
160	94	493
161	95	491
162	95	488
163	95	486
164	95	483
165	95	481
166	96	479
167	96	477
168	96	475
169	96	473
170	97	471
171	97	469
172	97	467
173	97	465
174	98	462
175	98	460
176	98	458
177	98	456
178	99	454
179	99	452
180	99	450
181	99	448
182	99	445
183	100	443
184	100	441
185	100	439
186	100	437
187	100	435
188	101	434
189	101	431
190	101	430
191	101	428
192	102	426
193	102	424
194	102	422
195	102	421
196	102	419
197	103	418
198	103	416
199	103	414
200	103	413
201	104	411
202	104	409
203	104	408
204	104	406
205	105	405
206	105	403
207	105	401
208	105	400
209	105	398
210	106	396
211	106	395
212	106	394
213	106	392
214	107	391
215	107	389
216	107	387
217	107	386
218	107	384
219	108	383
220	108	381
221	108	380
222	108	378
223	108	377
224	109	375
225	109	374
226	109	372
227	109	371
228	109	370
229	110	368
230	110	367
231	110	366
232	111	365
233	111	364
234	111	363
235	111	361
236	111	360
237	112	359
238	112	357
239	112	356
240	112	355
241	112	353
242	113	352
243	113	351
244	113	349
245	113	348
246	114	347
247	114	346
248	114	345
249	114	344
250	114	342
251	115	341
252	115	340
253	115	339
254	115	338
255	115	336
256	116	335
257	116	334
258	116	333
259	116	332
260	117	331
261	117	330
262	117	329
263	117	327
264	117	327
265	118	325
266	118	325
267	118	324
268	118	323
269	119	322
270	119	321
271	119	320
272	119	319
273	120	318
274	120	317
275	120	316
276	120	315
277	121	314
278	121	313
279	121	312
280	121	311
281	121	310
282	122	309
283	122	308
284	122	307
285	122	306
286	122	305
287	122	304
288	123	303
289	123	302
290	123	301
291	123	300
292	123	299
293	124	298
294	124	297
295	124	296
296	124	295
297	124	294
298	125	293
299	125	292
300	125	291
301	125	290
302	126	290
303	126	289
304	126	288
305	126	287
306	127	286
307	127	286
308	127	285
309	127	284
310	127	283
311	128	282
312	128	281
313	128	280
314	128	279
315	128	278
316	129	278
317	129	277
318	129	276
319	129	275
320	129	274
321	130	273
322	130	273
323	130	272
324	130	271
325	130	270
326	131	269
327	131	269
328	131	268
329	131	267
330	131	266
331	132	265
332	132	264
333	132	264
334	132	263
335	133	263
336	133	262
337	133	261
338	133	260
339	134	260
340	134	259
341	134	258
342	134	258
343	135	257
344	135	256
345	135	255
346	135	255
347	135	254
348	136	254
349	136	253
350	136	252
351	136	251
352	137	251
353	137	250
354	137	250
355	137	249
356	138	248
357	138	248
358	138	247
359	138	246
360	139	246
361	139	245
362	139	244
363	139	243
364	139	243
365	140	242
366	140	242
367	140	241
368	140	240
369	141	240
370	141	239
371	141	238
372	141	238
373	141	237
374	142	236
375	142	236
376	142	235
377	142	234
378	142	234
379	143	233
380	143	232
381	143	232
382	143	231
383	144	231
384	144	230
385	144	230
386	145	229
387	145	229
388	145	228
389	145	227
390	145	227
391	146	226
392	146	226
393	146	225
394	146	224
395	147	224
396	147	223
397	147	223
398	147	222
399	148	222
400	148	221
401	148	220
402	148	220
403	148	219
404	149	219
405	149	218
406	149	217
407	149	217
408	149	216
409	150	215
410	150	215
411	150	214
412	150	214
413	150	213
414	151	212
415	151	212
416	151	211
417	151	211
418	151	210
419	152	210
420	152	209
421	152	208
422	152	208
423	153	208
424	153	207
425	153	206
426	153	206
427	153	205
428	154	205
429	154	204
430	154	204
431	154	203
432	155	203
433	155	202
434	155	201
435	155	201
436	155	200
437	156	200
438	156	199
439	156	199
440	156	198
441	156	198
442	157	197
443	157	197
444	157	196
445	157	195
446	157	195
447	158	194
448	158	194
449	158	193
450	158	193
451	159	192
452	159	192
453	159	191
454	159	191
455	159	190
456	160	190
457	160	189
458	160	189
459	161	189
460	161	188
461	161	188
462	161	187
